Date,Time,A,B,C
2024/7/1,0:00:00,1,0.56,4.3
2024/7/1,0:00:10,1.1,0.57,4.2
2024/7/1,0:00:20,1.2,0.58,4.1
2024/7/1,0:00:30,1.3,0.59,4
2024/7/1,0:00:40,1.4,0.6,3.9
2024/7/1,0:00:50,1.5,0.61,3.8
2024/7/1,0:01:00,1.6,0.62,3.7
2024/7/1,0:01:10,1.7,0.63,3.6
2024/7/1,0:01:20,1.8,0.64,3.5
2024/7/1,0:01:30,1.9,0.65,3.4
2024/7/1,0:01:40,2,0.66,3.3
2024/7/1,0:01:50,2.1,0.67,3.2
2024/7/1,0:02:00,2.2,0.68,3.1
2024/7/1,0:02:10,2.3,0.69,3
2024/7/1,0:02:20,2.4,0.7,2.9
2024/7/1,0:02:30,2.5,0.71,2.8
2024/7/1,0:02:40,2.6,0.72,2.7
2024/7/1,0:02:50,2.7,0.73,2.6
2024/7/1,0:03:00,2.8,0.74,2.5
2024/7/1,0:03:10,2.9,0.75,2.4
2024/7/1,0:03:20,3,0.76,2.3
2024/7/1,0:03:30,3.1,0.77,2.2
2024/7/1,0:03:40,3.2,0.78,2.1
2024/7/1,0:03:50,3.3,0.79,2
2024/7/1,0:04:00,3.4,0.8,1.9
2024/7/1,0:04:10,3.5,0.81,1.8
2024/7/1,0:04:20,3.6,0.82,1.7
2024/7/1,0:04:30,3.7,0.83,1.6
2024/7/1,0:04:40,3.8,0.84,1.5
2024/7/1,0:04:50,3.9,0.85,1.4
2024/7/1,0:05:00,4,0.86,1.3
2024/7/1,0:05:10,4.1,0.87,1.2
2024/7/1,0:05:20,4.2,0.88,1.1
2024/7/1,0:05:30,4.3,0.89,1
2024/7/1,0:05:40,4.4,0.9,0.9
2024/7/1,0:05:50,4.5,0.91,0.8
2024/7/1,0:06:00,4.6,0.92,0.7
2024/7/1,0:06:10,4.7,0.93,0.6
2024/7/1,0:06:20,4.8,0.94,0.5
2024/7/1,0:06:30,4.9,0.95,0.4
2024/7/1,0:06:40,5,0.96,0.3
2024/7/1,0:06:50,5.1,0.97,0.2
2024/7/1,0:07:00,5.2,0.98,0.1
2024/7/1,0:07:10,5.3,0.99,1.95399E-14
2024/7/1,0:07:20,5.4,1,-0.1
2024/7/1,0:07:30,5.5,1.01,-0.2
2024/7/1,0:07:40,5.6,1.02,-0.3
2024/7/1,0:07:50,5.7,1.03,-0.4
2024/7/1,0:08:00,5.8,1.04,-0.5
2024/7/1,0:08:10,5.9,1.05,-0.6
2024/7/1,0:08:20,6,1.06,-0.7
2024/7/1,0:08:30,6.1,1.07,-0.8
2024/7/1,0:08:40,6.2,1.08,-0.9
2024/7/1,0:08:50,6.3,1.09,-1
2024/7/1,0:09:00,6.4,1.1,-1.1
2024/7/1,0:09:10,6.5,1.11,-1.2
2024/7/1,0:09:20,6.6,1.12,-1.3
2024/7/1,0:09:30,6.7,1.13,-1.4
2024/7/1,0:09:40,6.8,1.14,-1.5
2024/7/1,0:09:50,6.9,1.15,-1.6
2024/7/1,0:10:00,7,1.16,-1.7
2024/7/1,0:10:10,7.1,1.17,-1.8
2024/7/1,0:10:20,7.2,1.18,-1.9
2024/7/1,0:10:30,7.3,1.19,-2
2024/7/1,0:10:40,7.4,1.2,-2.1
2024/7/1,0:10:50,7.5,1.21,-2.2
2024/7/1,0:11:00,7.6,1.22,-2.3
2024/7/1,0:11:10,7.7,1.23,-2.4
2024/7/1,0:11:20,7.8,1.24,-2.5
2024/7/1,0:11:30,7.9,1.25,-2.6
2024/7/1,0:11:40,8,1.26,-2.7
2024/7/1,0:11:50,8.1,1.27,-2.8
2024/7/1,0:12:00,8.2,1.28,-2.9
2024/7/1,0:12:10,8.3,1.29,-3
2024/7/1,0:12:20,8.4,1.3,-3.1
2024/7/1,0:12:30,8.5,1.31,-3.2
2024/7/1,0:12:40,8.6,1.32,-3.3
2024/7/1,0:12:50,8.7,1.33,-3.4
2024/7/1,0:13:00,8.8,1.34,-3.5
2024/7/1,0:13:10,8.9,1.35,-3.6
2024/7/1,0:13:20,9,1.36,-3.7
2024/7/1,0:13:30,9.1,1.37,-3.8
2024/7/1,0:13:40,9.2,1.38,-3.9
2024/7/1,0:13:50,9.3,1.39,-4
2024/7/1,0:14:00,9.4,1.4,-4.1
2024/7/1,0:14:10,9.5,1.41,-4.2
2024/7/1,0:14:20,9.6,1.42,-4.3
2024/7/1,0:14:30,9.7,1.43,-4.4
2024/7/1,0:14:40,9.8,1.44,-4.5
2024/7/1,0:14:50,9.9,1.45,-4.6
2024/7/1,0:15:00,10,1.46,-4.7
2024/7/1,0:15:10,10.1,1.47,-4.8
2024/7/1,0:15:20,10.2,1.48,-4.9
2024/7/1,0:15:30,10.3,1.49,-5
2024/7/1,0:15:40,10.4,1.5,-5.1
2024/7/1,0:15:50,10.5,1.51,-5.2
2024/7/1,0:16:00,10.6,1.52,-5.3
2024/7/1,0:16:10,10.7,1.53,-5.4
2024/7/1,0:16:20,10.8,1.54,-5.5
2024/7/1,0:16:30,10.9,1.55,-5.6
2024/7/1,0:16:40,11,1.56,-5.7
2024/7/1,0:16:50,11.1,1.57,-5.8
2024/7/1,0:17:00,11.2,1.58,-5.9
2024/7/1,0:17:10,11.3,1.59,-6
2024/7/1,0:17:20,11.4,1.6,-6.1
2024/7/1,0:17:30,11.5,1.61,-6.2
2024/7/1,0:17:40,11.6,1.62,-6.3
2024/7/1,0:17:50,11.7,1.63,-6.4
2024/7/1,0:18:00,11.8,1.64,-6.5
2024/7/1,0:18:10,11.9,1.65,-6.6
2024/7/1,0:18:20,12,1.66,-6.7
2024/7/1,0:18:30,12.1,1.67,-6.8
2024/7/1,0:18:40,12.2,1.68,-6.9
2024/7/1,0:18:50,12.3,1.69,-7
2024/7/1,0:19:00,12.4,1.7,-7.1
2024/7/1,0:19:10,12.5,1.71,-7.2
2024/7/1,0:19:20,12.6,1.72,-7.3
2024/7/1,0:19:30,12.7,1.73,-7.4
2024/7/1,0:19:40,12.8,1.74,-7.5
2024/7/1,0:19:50,12.9,1.75,-7.6
2024/7/1,0:20:00,13,1.76,-7.7
2024/7/1,0:20:10,13.1,1.77,-7.8
2024/7/1,0:20:20,13.2,1.78,-7.9
2024/7/1,0:20:30,13.3,1.79,-8
2024/7/1,0:20:40,13.4,1.8,-8.1
2024/7/1,0:20:50,13.5,1.81,-8.2
2024/7/1,0:21:00,13.6,1.82,-8.3
2024/7/1,0:21:10,13.7,1.83,-8.4
2024/7/1,0:21:20,13.8,1.84,-8.5
2024/7/1,0:21:30,13.9,1.85,-8.6
2024/7/1,0:21:40,14,1.86,-8.7
2024/7/1,0:21:50,14.1,1.87,-8.8
2024/7/1,0:22:00,14.2,1.88,-8.9
2024/7/1,0:22:10,14.3,1.89,-9
2024/7/1,0:22:20,14.4,1.9,-9.1
2024/7/1,0:22:30,14.5,1.91,-9.2
2024/7/1,0:22:40,14.6,1.92,-9.3
2024/7/1,0:22:50,14.7,1.93,-9.4
2024/7/1,0:23:00,14.8,1.94,-9.5
2024/7/1,0:23:10,14.9,1.95,-9.6
2024/7/1,0:23:20,15,1.96,-9.7
2024/7/1,0:23:30,15.1,1.97,-9.8
2024/7/1,0:23:40,15.2,1.98,-9.9
2024/7/1,0:23:50,15.3,1.99,-10
2024/7/1,0:24:00,15.4,2,-10.1
2024/7/1,0:24:10,15.5,2.01,-10.2
2024/7/1,0:24:20,15.6,2.02,-10.3
