馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
オイデヤスダイジン,伊藤工真,7,1:13.3,3.6,5-5,1,460,2,牝,3,54.0,38.9,2.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
グルアーブ,柴田善臣,1,1:13.3,17.2,12-11,2,432,4,牝,3,54.0,38.0,5.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
トーレスデルパイネ,岩部純二,3,1:13.7,199.0,9-9,3,458,0,牝,3,54.0,38.7,12.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
デュープス,武士沢友,6,1:13.8,50.4,6-6,4,418,0,牝,3,54.0,39.2,8.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
ディヴィニティ,マーフィ,12,1:13.8,1.6,4-4,5,536,-2,牝,3,54.0,39.7,1.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
ノヘア,北村宏司,13,1:13.9,74.3,2-3,6,428,8,牝,3,54.0,39.9,9.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
エクメディノツルギ,内田博幸,14,1:14.2,121.7,6-8,7,424,0,牝,3,54.0,39.6,11.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
シンキングアイル,菅原明良,5,1:14.4,82.2,12-13,8,460,-2,牝,3,52.0,39.1,10.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
ラヴアンドゲーム,大野拓弥,10,1:14.7,28.8,2-2,9,434,0,牝,3,54.0,40.7,6.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
サノレーヌ,藤田菜七,9,1:14.8,9.5,1-1,10,438,0,牝,3,51.0,40.9,3.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
セルレア,菊沢一樹,4,1:14.9,14.5,6-6,11,464,10,牝,3,53.0,40.2,4.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
スルーザリミッツ,三浦皇成,2,1:14.9,31.4,16-15,12,424,-4,牝,3,54.0,39.3,7.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
ラブカワールド,小林凌大,15,1:15.3,474.2,15-16,13,436,4,牝,3,51.0,39.9,15.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
シラカワカツコ,山田敬士,16,1:15.4,233.1,9-10,14,404,4,牝,3,51.0,40.4,13.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
イズジョーボヌール,菅原隆一,8,1:15.6,561.3,12-13,15,450,2,牝,3,54.0,40.3,16.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
コトブキノニ,横山和生,11,1:16.2,392.6,9-11,16,482,18,牝,3,54.0,41.2,14.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1200,右,良,晴,5,中山
リッターシュラーク,横山典弘,7,1:56.8,5.9,11-12-15-8,1,490,2,牡,3,56.0,39.0,3.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
ブリジャール,マーフィ,2,1:56.8,1.5,7-6-4-3,2,494,-2,牡,3,56.0,40.2,1.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
ジーマックス,松岡正海,16,1:57.4,5.0,3-5-4-4,3,536,8,牡,3,56.0,40.8,2.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
トキメキナイス,江田照男,3,1:57.7,153.8,14-13-12-9,4,462,-4,牡,3,56.0,40.0,9.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
ドロス,木幡巧也,10,1:57.7,14.7,9-9-7-4,5,500,4,牡,3,56.0,40.8,4.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
トリプルシックス,横山和生,13,1:58.0,32.9,2-2-2-1,6,466,0,牝,3,54.0,41.8,7.0,3歳未勝利,2020年1月5日,1回中山1日目,3歳未勝利,ダ,1800,右,良,晴,5,中山
